Nested Sampling Global Log-Evidence           :    0.585211033585151540E+03  +/-    0.502307404269815905E+00
Nested Importance Sampling Global Log-Evidence:    0.585118614900952139E+03  +/-    0.433079745626434587E-01

Dim No.       Mean        Sigma
   1    0.500003724820155093E+00    0.443350734670481340E-04
   2    0.999895316856214966E-01    0.483154643361026701E-04
   3    0.499859965935711692E+00    0.206273633262839907E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.500014495266176029E+00
   2    0.999886785266705658E-01
   3    0.499888089237436384E+00

MAP Parameters
Dim No.        Parameter
   1    0.500014495266176029E+00
   2    0.999886785266705658E-01
   3    0.499888089237436384E+00
